CumulativeSecondVector,RealTimeVector,StateVector,ArtifactCorrectedHRVector,METMaxPercentageVector,VO2Vector,EPOCVector,RespRVector,VentilationVector,EEVector,EEpFatVector,ResourceVector,AbsoluteStressVector,AbsoluteRelaxationVector,ScaledStressVector,ScaledRelaxationVector,VLFVector,LFVector,HFVector,HF2Vector,RSAAmplitudeVector
0,7:59:00,10,98,27.5811,11.29,0.04,21.13,15.35,253,49,0,107.49,61.25,0,0,136.58,1141.32,462.36,532.6,15.85
1,7:59:01,10,98,27.5811,11.29,0.04,21.13,15.35,253,49,0,107.49,61.25,0,0,136.58,1141.32,462.36,532.6,15.85
2,7:59:02,10,98,27.5811,11.29,0.04,21.13,15.35,253,49,0,107.49,61.25,0,0,136.58,1141.32,462.36,532.6,15.85
3,7:59:03,10,98,27.5811,11.29,0.04,21.13,15.35,253,49,0,107.49,61.25,0,0,136.58,1141.32,462.36,532.6,15.85
4,7:59:04,10,98,27.5155,11.26,0.05,21.13,15.3,253,49,0,107.49,61.25,0,0,136.58,1141.32,462.36,532.6,15.85
5,7:59:05,10,97,27.4499,11.23,0.05,21.2,15.25,252,49,0,108.31,61.2,0,0,137.88,1069.75,438.13,505.84,15.08
6,7:59:06,10,96,27.3843,11.21,0.05,21.27,15.2,251,49,0,109.27,61.14,0,0,139.19,998.18,413.91,479.07,14.31
7,7:59:07,10,96,27.3187,11.18,0.06,21.33,15.14,251,49,0,110.41,61.06,0,0,140.49,926.61,389.68,452.3,13.54
8,7:59:08,10,95,27.2532,11.15,0.06,21.4,15.09,250,49,0,111.75,60.96,0,0,141.8,855.04,365.46,425.53,12.77
9,7:59:09,10,94,27.1876,11.13,0.07,21.47,15.04,250,49,0,113.33,60.83,0,0,143.1,783.47,341.24,398.77,12.01
10,7:59:10,10,93,27.122,11.1,0.07,21.54,14.99,249,49,0,115.21,60.67,0,0,144.41,711.9,317.01,372,11.24
11,7:59:11,10,93,27.0564,11.07,0.08,21.6,14.94,248,49,0,117.46,60.48,0,0,145.71,640.33,292.79,345.23,10.47
12,7:59:12,10,92,26.8626,10.99,0.09,21.67,14.84,247,49,0,120.19,60.26,0,0,147.02,568.76,268.56,318.46,9.7
13,7:59:13,10,91,26.7343,10.94,0.09,21.74,14.79,245,49,0,123.55,59.98,0,0,148.32,497.19,244.34,291.7,8.94
14,7:59:14,10,91,26.6061,10.89,0.09,21.8,14.74,244,49,0,127.75,59.64,0,0,149.63,425.62,220.12,264.93,8.17
15,7:59:15,10,90,26.4779,10.84,0.1,21.8,14.69,243,49,0,127.33,59.29,0,0,159.97,468.04,197.16,239.56,9.02
16,7:59:16,10,90,26.3496,10.78,0.1,21.72,14.64,242,49,0,123.16,59.35,0,0,169,582.03,198.42,240.95,10.64
17,7:59:17,10,90,26.2214,10.73,0.11,21.65,14.59,241,49,0,119.97,59.41,0,0,178.04,696.02,199.69,242.34,12.26
18,7:59:18,10,90,26.0932,10.68,0.11,21.57,14.54,239,49,0,117.43,59.46,0,0,187.07,810.01,200.96,243.73,13.88
19,7:59:19,10,89,25.9649,10.63,0.11,21.5,14.49,238,49,0,115.34,59.52,0,0,196.11,924,202.22,245.13,15.49
20,7:59:20,10,89,25.8111,10.56,0.12,21.42,14.43,237,49,0,113.58,59.58,0,0,205.14,1037.99,203.49,246.52,17.11
21,7:59:21,10,89,25.7856,10.55,0.13,21.35,14.42,237,49,0,112.08,59.64,0,0,214.18,1151.98,204.76,247.91,18.73
22,7:59:22,10,89,25.76,10.54,0.13,21.27,14.41,236,49,0,110.77,59.7,0,0,223.21,1265.97,206.02,249.31,20.35
23,7:59:23,10,89,25.7345,10.53,0.13,21.2,14.41,236,49,0,109.62,59.76,0,0,232.25,1379.96,207.29,250.7,21.97
24,7:59:24,10,89,25.7089,10.52,0.14,21.12,14.4,236,49,0,108.6,59.82,0,0,241.28,1493.95,208.56,252.09,23.59
25,7:59:25,10,89,25.6833,10.51,0.14,21.17,14.39,236,49,0,108.45,59.64,0,0,240.07,1550.54,200.76,243.96,23.5
26,7:59:26,10,89,25.6578,10.5,0.14,21.3,14.38,235,49,0,109.29,59.38,0,0,229.81,1493.13,191.7,234.44,21.79
27,7:59:27,10,89,25.6322,10.49,0.15,21.42,14.38,235,49,0,110.22,59.12,0,0,219.56,1435.73,182.64,224.91,20.08
28,7:59:28,10,89,25.752,10.54,0.16,21.55,14.49,236,49,0,111.26,58.84,0,0,209.3,1378.33,173.57,215.39,18.37
29,7:59:29,10,89,25.8974,10.6,0.16,21.67,14.61,238,49,0,112.4,58.54,0,0,199.05,1320.93,164.51,205.86,16.66
30,7:59:30,10,89,26.0427,10.66,0.17,21.8,14.74,239,49,0,113.68,58.22,0,0,188.79,1263.53,155.45,196.34,14.95
31,7:59:31,10,89,26.1881,10.72,0.17,21.92,14.86,240,49,0,115.1,57.89,0,0,178.54,1206.12,146.39,186.82,13.25
32,7:59:32,10,89,26.3334,10.78,0.17,22.05,14.98,242,49,0,116.69,57.52,0,0,168.28,1148.72,137.33,177.29,11.54
33,7:59:33,10,89,26.4787,10.84,0.18,22.17,15.1,243,49,0,118.49,57.13,0,0,158.03,1091.32,128.27,167.77,9.83
34,7:59:34,10,89,26.6241,10.9,0.18,22.3,15.23,244,49,0,120.51,56.71,0,0,147.77,1033.92,119.2,158.24,8.12
35,7:59:35,10,89,26.7694,10.96,0.19,22.54,15.35,246,49,0,122.38,56.49,0,0,126.16,911.34,115.73,155.92,6.31
36,7:59:36,10,89,27.0222,11.06,0.2,22.66,15.56,248,49,0,122.12,56.71,0,0,114.8,846.16,121.33,163.13,6.2
37,7:59:37,10,89,27.1297,11.1,0.2,22.77,15.64,249,49,0,122.06,56.92,0,0,103.45,780.98,126.92,170.34,6.1
38,7:59:38,10,90,27.2372,11.15,0.2,22.89,15.73,250,49,0,122.21,57.11,0,0,92.09,715.8,132.51,177.54,6
39,7:59:39,10,90,27.3446,11.19,0.21,23.01,15.81,251,49,0,122.59,57.3,0,0,80.73,650.62,138.1,184.75,5.89
40,7:59:40,10,90,27.4521,11.23,0.21,23.13,15.9,252,49,0,123.24,57.47,0,0,69.38,585.44,143.7,191.95,5.79
41,7:59:41,10,90,27.5595,11.28,0.22,23.24,15.98,253,49,0,124.22,57.63,0,0,58.02,520.26,149.29,199.16,5.68
42,7:59:42,10,90,27.667,11.32,0.22,23.36,16.07,254,49,0,125.62,57.79,0,0,46.66,455.09,154.88,206.36,5.58
43,7:59:43,10,90,27.7745,11.37,0.23,23.48,16.15,255,49,0,127.58,57.94,0,0,35.31,389.91,160.47,213.57,5.48
44,7:59:44,10,91,27.7435,11.35,0.24,23.59,16.13,255,49,0,130.33,58.07,0,0,23.95,324.73,166.06,220.77,5.37
45,7:59:45,10,91,27.6051,11.3,0.24,23.55,16.02,253,49,0,135.42,58.2,0,0,11.77,257.37,169.69,223.56,5.65
46,7:59:46,10,90,27.4667,11.24,0.24,23.39,15.91,252,49,0,136.57,58.19,0,0,10.94,255.2,167.73,219.14,6.04
47,7:59:47,10,90,27.3282,11.18,0.25,23.23,15.8,251,49,0,137.74,58.19,0,0,10.11,253.02,165.76,214.72,6.42
48,7:59:48,10,90,27.1898,11.13,0.25,23.08,15.7,250,49,0,138.93,58.18,0,0,9.29,250.84,163.8,210.3,6.8
49,7:59:49,10,90,27.0514,11.07,0.26,22.92,15.59,248,49,0,140.15,58.17,0,0,8.46,248.67,161.83,205.88,7.19
50,7:59:50,10,90,26.913,11.01,0.26,22.76,15.48,247,49,0,141.39,58.16,0,0,7.64,246.49,159.87,201.46,7.57
51,7:59:51,10,89,26.7745,10.96,0.26,22.6,15.37,246,49,0,142.66,58.16,0,0,6.81,244.31,157.9,197.05,7.95
52,7:59:52,10,89,26.5443,10.86,0.27,22.44,15.19,244,49,0,143.95,58.14,0,0,5.98,242.14,155.94,192.63,8.34
53,7:59:53,10,89,26.4525,10.83,0.28,22.28,15.11,243,49,0,145.27,58.13,0,0,5.16,239.96,153.98,188.21,8.72
54,7:59:54,10,89,26.3607,10.79,0.28,22.13,15.04,242,49,0,146.61,58.12,0,0,4.33,237.79,152.01,183.79,9.1
55,7:59:55,10,89,26.2689,10.75,0.28,21.89,14.96,241,49,0,138.93,58.78,0,0,4.1,300.97,170.19,200.29,10.89
56,7:59:56,10,89,26.1771,10.71,0.29,21.81,14.88,240,49,0,132.15,59.37,0,0,4.7,366.34,190.33,221.21,12.28
57,7:59:57,10,89,26.0853,10.68,0.29,21.73,14.81,239,49,0,126.84,59.89,0,0,5.3,431.7,210.47,242.13,13.68
58,7:59:58,10,89,25.9935,10.64,0.29,21.65,14.73,239,49,0,122.52,60.35,0,0,5.9,497.06,230.62,263.04,15.08
59,7:59:59,10,89,25.9017,10.6,0.3,21.57,14.66,238,49,0,118.94,60.76,0,0,6.5,562.43,250.76,283.96,16.48
60,8:00:00,10,89,25.8111,10.56,0.31,21.49,14.57,237,49,0,115.91,61.14,0,0,7.1,627.79,270.9,304.88,17.88
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
